State,report_year,agency_jurisdiction,violent_crimes
AZ,245385,"Mesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZMesa, AZPhoenix, AZTucson, AZ",582766.0
CA,736155,"Fresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CAFresno, CALong Beach, CALos Angeles County, CALos Angeles, CAOakland, CASacramento, CASan Diego, CASan Francisco, CASan Jose, CA",3990220.0
CO,163590,"Aurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, COAurora, CODenver, CO",247616.0
DC,81795,"Washington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DCWashington, DC",433937.0
FL,408975,"Jacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FLJacksonville, FLMiami, FLMiami-Dade County, FLOrlando, FLTampa, FL",1503422.0
GA,81795,"Atlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GAAtlanta, GA",429070.0
HI,81795,"Honolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HIHonolulu, HI",94772.0
IL,81795,"Chicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, ILChicago, IL",1960886.0
IN,81795,"Indianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, INIndianapolis, IN",279507.0
KS,81795,"Wichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KSWichita, KS",93498.0
KY,81795,"Louisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KYLouisville, KY",50416.0
LA,81795,"New Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LANew Orleans, LA",270470.0
MA,81795,"Boston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MABoston, MA",374136.0
MD,327180,"Baltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MDBaltimore County, MDBaltimore, MDMontgomery County, MDPrince George's County, MD",1136606.0
MI,81795,"Detroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MIDetroit, MI",918003.0
