report_year,agency_jurisdiction,violent_crimes
1975,"Albuquerque, NM",2383.0
1975,"Arlington, TX",278.0
1975,"Atlanta, GA",8033.0
1975,"Aurora, CO",611.0
1975,"Austin, TX",1215.0
1975,"Baltimore County, MD",1259.0
1975,"Baltimore, MD",16086.0
1975,"Boston, MA",11386.0
1975,"Buffalo, NY",3350.0
1975,"Charlotte, NC",1937.0
1975,"Chicago, IL",37160.0
1975,"Cincinnati, OH",3578.0
1975,"Cleveland, OH",10403.0
1975,"Columbus, OH",3980.0
1975,"Dallas, TX",7655.0
1975,"Denver, CO",4960.0
1975,"Detroit, MI",30387.0
1975,"El Paso, TX",1618.0
1975,"Fairfax County, VA",805.0
1975,"Fort Worth, TX",1939.0
1975,"Fresno, CA",1141.0
1975,"Honolulu, HI",1596.0
1975,"Houston, TX",8924.0
1975,"Indianapolis, IN",4655.0
1975,"Jacksonville, FL",4579.0
1975,"Kansas City, MO",6072.0
1975,"Las Vegas, NV",2594.0
1975,"Long Beach, CA",3189.0
1975,"Los Angeles County, CA",9792.0
1975,"Los Angeles, CA",30405.0
1975,"Louisville, KY",0.0
1975,"Memphis, TN",5429.0
1975,"Mesa, AZ",267.0
1975,"Miami, FL",6213.0
1975,"Miami-Dade County, FL",6702.0
1975,"Milwaukee, WI",3204.0
1975,"Minneapolis, MN",3326.0
1975,"Montgomery County, MD",967.0
1975,"Nashville, TN",3158.0
1975,"Nassau County, NY",993.0
1975,"New Orleans, LA",5993.0
1975,"New York City, NY",132182.0
1975,"Newark, NJ",7136.0
1975,"Oakland, CA",5900.0
1975,"Oklahoma City, OK",2666.0
1975,"Omaha, NE",2540.0
1975,"Orlando, FL",1116.0
1975,"Philadelphia, PA",16332.0
1975,"Phoenix, AZ",4649.0
1975,"Pittsburgh, PA",4967.0
1975,"Portland, OR",4076.0
1975,"Prince George's County, MD",4147.0
1975,"Raleigh, NC",721.0
1975,"Sacramento, CA",2412.0
1975,"Salt Lake City, UT",1070.0
1975,"San Antonio, TX",4222.0
1975,"San Diego, CA",3859.0
1975,"San Francisco, CA",9137.0
1975,"San Jose, CA",2116.0
1975,"Seattle, WA",3971.0
1975,"St. Louis, MO",10563.0
1975,"Suffolk County, NY",964.0
1975,"Tampa, FL",3168.0
1975,"Tucson, AZ",1810.0
1975,"Tulsa, OK",1768.0
1975,"Virginia Beach, VA",452.0
1975,"Washington, DC",12704.0
1975,"Wichita, KS",1137.0
1976,"Albuquerque, NM",2420.0
1976,"Arlington, TX",274.0
1976,"Atlanta, GA",7529.0
1976,"Aurora, CO",546.0
1976,"Austin, TX",1202.0
1976,"Baltimore County, MD",1798.0
1976,"Baltimore, MD",14191.0
1976,"Boston, MA",9888.0
1976,"Buffalo, NY",3091.0
1976,"Charlotte, NC",1895.0
1976,"Chicago, IL",30640.0
1976,"Cincinnati, OH",3461.0
1976,"Cleveland, OH",8496.0
1976,"Columbus, OH",3287.0
1976,"Dallas, TX",7244.0
1976,"Denver, CO",4107.0
1976,"Detroit, MI",29699.0
1976,"El Paso, TX",1573.0
1976,"Fairfax County, VA",708.0
1976,"Fort Worth, TX",1732.0
1976,"Fresno, CA",1267.0
1976,"Honolulu, HI",1696.0
1976,"Houston, TX",8045.0
1976,"Indianapolis, IN",4144.0
1976,"Jacksonville, FL",4443.0
1976,"Kansas City, MO",5578.0
1976,"Las Vegas, NV",2473.0
1976,"Long Beach, CA",2950.0
1976,"Los Angeles County, CA",10104.0
1976,"Los Angeles, CA",31960.0
1976,"Louisville, KY",0.0
1976,"Memphis, TN",4780.0
1976,"Mesa, AZ",311.0
1976,"Miami, FL",5172.0
1976,"Miami-Dade County, FL",6787.0
1976,"Milwaukee, WI",2692.0
1976,"Minneapolis, MN",2954.0
1976,"Montgomery County, MD",932.0
1976,"Nashville, TN",2831.0
1976,"Nassau County, NY",887.0
1976,"New Orleans, LA",4810.0
1976,"New York City, NY",134153.0
1976,"Newark, NJ",6565.0
1976,"Oakland, CA",5514.0
1976,"Oklahoma City, OK",2360.0
1976,"Omaha, NE",2008.0
1976,"Orlando, FL",1118.0
1976,"Philadelphia, PA",13113.0
1976,"Phoenix, AZ",3856.0
1976,"Pittsburgh, PA",4621.0
1976,"Portland, OR",4304.0
1976,"Prince George's County, MD",3869.0
1976,"Raleigh, NC",531.0
1976,"Sacramento, CA",2799.0
1976,"Salt Lake City, UT",959.0
1976,"San Antonio, TX",3285.0
1976,"San Diego, CA",4118.0
1976,"San Francisco, CA",10756.0
1976,"San Jose, CA",2523.0
1976,"Seattle, WA",4128.0
1976,"St. Louis, MO",9574.0
1976,"Suffolk County, NY",1810.0
1976,"Tampa, FL",2935.0
1976,"Tucson, AZ",1464.0
1976,"Tulsa, OK",1747.0
1976,"Virginia Beach, VA",481.0
1976,"Washington, DC",10399.0
1976,"Wichita, KS",1114.0
1977,"Albuquerque, NM",2390.0
1977,"Arlington, TX",389.0
1977,"Atlanta, GA",7595.0
1977,"Aurora, CO",585.0
1977,"Austin, TX",1260.0
1977,"Baltimore County, MD",4010.0
1977,"Baltimore, MD",14283.0
1977,"Boston, MA",9422.0
1977,"Buffalo, NY",3945.0
1977,"Charlotte, NC",2245.0
1977,"Chicago, IL",28873.0
1977,"Cincinnati, OH",3439.0
1977,"Cleveland, OH",9421.0
1977,"Columbus, OH",3238.0
1977,"Dallas, TX",8899.0
1977,"Denver, CO",5032.0
1977,"Detroit, MI",24070.0
1977,"El Paso, TX",1560.0
1977,"Fairfax County, VA",841.0
1977,"Fort Worth, TX",2561.0
1977,"Fresno, CA",1673.0
1977,"Honolulu, HI",1660.0
1977,"Houston, TX",9304.0
1977,"Indianapolis, IN",3785.0
1977,"Jacksonville, FL",4171.0
1977,"Kansas City, MO",5616.0
1977,"Las Vegas, NV",2729.0
1977,"Long Beach, CA",3391.0
1977,"Los Angeles County, CA",10589.0
1977,"Los Angeles, CA",33676.0
1977,"Louisville, KY",0.0
1977,"Memphis, TN",5231.0
1977,"Mesa, AZ",385.0
1977,"Miami, FL",5346.0
1977,"Miami-Dade County, FL",7204.0
1977,"Milwaukee, WI",2535.0
1977,"Minneapolis, MN",3130.0
1977,"Montgomery County, MD",916.0
1977,"Nashville, TN",2957.0
1977,"Nassau County, NY",1058.0
1977,"New Orleans, LA",5947.0
1977,"New York City, NY",121916.0
1977,"Newark, NJ",6175.0
1977,"Oakland, CA",5764.0
1977,"Oklahoma City, OK",2695.0
1977,"Omaha, NE",1918.0
1977,"Orlando, FL",1143.0
1977,"Philadelphia, PA",12047.0
1977,"Phoenix, AZ",4295.0
1977,"Pittsburgh, PA",4572.0
1977,"Portland, OR",3973.0
1977,"Prince George's County, MD",3724.0
1977,"Raleigh, NC",571.0
1977,"Sacramento, CA",2915.0
1977,"Salt Lake City, UT",1064.0
1977,"San Antonio, TX",3755.0
1977,"San Diego, CA",4414.0
1977,"San Francisco, CA",9367.0
1977,"San Jose, CA",2670.0
1977,"Seattle, WA",4156.0
1977,"St. Louis, MO",9726.0
1977,"Suffolk County, NY",2042.0
1977,"Tampa, FL",3194.0
1977,"Tucson, AZ",1578.0
1977,"Tulsa, OK",1850.0
1977,"Virginia Beach, VA",463.0
1977,"Washington, DC",9843.0
1977,"Wichita, KS",1397.0
1978,"Albuquerque, NM",2434.0
1978,"Arlington, TX",450.0
1978,"Atlanta, GA",8845.0
1978,"Aurora, CO",831.0
1978,"Austin, TX",1413.0
1978,"Baltimore County, MD",4600.0
1978,"Baltimore, MD",14659.0
1978,"Boston, MA",10035.0
1978,"Buffalo, NY",3181.0
1978,"Charlotte, NC",2435.0
1978,"Chicago, IL",27686.0
1978,"Cincinnati, OH",3303.0
1978,"Cleveland, OH",9697.0
1978,"Columbus, OH",3353.0
1978,"Dallas, TX",9884.0
1978,"Denver, CO",4877.0
1978,"Detroit, MI",21602.0
1978,"El Paso, TX",1490.0
1978,"Fairfax County, VA",917.0
1978,"Fort Worth, TX",2670.0
1978,"Fresno, CA",1997.0
1978,"Honolulu, HI",2044.0
1978,"Houston, TX",10852.0
1978,"Indianapolis, IN",3733.0
1978,"Jacksonville, FL",4368.0
1978,"Kansas City, MO",5029.0
1978,"Las Vegas, NV",2886.0
1978,"Long Beach, CA",3688.0
1978,"Los Angeles County, CA",10766.0
1978,"Los Angeles, CA",36797.0
1978,"Louisville, KY",0.0
1978,"Memphis, TN",5412.0
1978,"Mesa, AZ",493.0
1978,"Miami, FL",6272.0
1978,"Miami-Dade County, FL",8437.0
1978,"Milwaukee, WI",2438.0
1978,"Minneapolis, MN",3098.0
1978,"Montgomery County, MD",1138.0
1978,"Nashville, TN",3153.0
1978,"Nassau County, NY",1005.0
1978,"New Orleans, LA",7635.0
1978,"New York City, NY",122685.0
1978,"Newark, NJ",6843.0
1978,"Oakland, CA",5374.0
1978,"Oklahoma City, OK",3607.0
1978,"Omaha, NE",1856.0
1978,"Orlando, FL",1620.0
1978,"Philadelphia, PA",12369.0
1978,"Phoenix, AZ",5401.0
1978,"Pittsburgh, PA",4818.0
1978,"Portland, OR",4017.0
1978,"Prince George's County, MD",3967.0
1978,"Raleigh, NC",645.0
1978,"Sacramento, CA",3198.0
1978,"Salt Lake City, UT",1062.0
1978,"San Antonio, TX",3446.0
1978,"San Diego, CA",4520.0
1978,"San Francisco, CA",10509.0
1978,"San Jose, CA",2755.0
1978,"Seattle, WA",4900.0
1978,"St. Louis, MO",10095.0
1978,"Suffolk County, NY",2523.0
1978,"Tampa, FL",3510.0
1978,"Tucson, AZ",1654.0
1978,"Tulsa, OK",2160.0
1978,"Virginia Beach, VA",465.0
1978,"Washington, DC",9515.0
1978,"Wichita, KS",1231.0
1979,"Albuquerque, NM",2679.0
1979,"Arlington, TX",626.0
1979,"Atlanta, GA",10715.0
1979,"Aurora, CO",1033.0
1979,"Austin, TX",1495.0
1979,"Baltimore County, MD",5041.0
1979,"Baltimore, MD",15523.0
1979,"Boston, MA",11392.0
1979,"Buffalo, NY",3857.0
1979,"Charlotte, NC",2485.0
1979,"Chicago, IL",27807.0
1979,"Cincinnati, OH",3808.0
1979,"Cleveland, OH",9736.0
1979,"Columbus, OH",4242.0
1979,"Dallas, TX",11453.0
1979,"Denver, CO",5118.0
1979,"Detroit, MI",21021.0
1979,"El Paso, TX",2245.0
1979,"Fairfax County, VA",882.0
1979,"Fort Worth, TX",3799.0
1979,"Fresno, CA",1976.0
1979,"Honolulu, HI",2196.0
1979,"Houston, TX",14216.0
1979,"Indianapolis, IN",4178.0
1979,"Jacksonville, FL",4903.0
1979,"Kansas City, MO",5942.0
1979,"Las Vegas, NV",3210.0
1979,"Long Beach, CA",3990.0
1979,"Los Angeles County, CA",11529.0
1979,"Los Angeles, CA",43372.0
1979,"Louisville, KY",0.0
1979,"Memphis, TN",5785.0
1979,"Mesa, AZ",755.0
1979,"Miami, FL",6825.0
1979,"Miami-Dade County, FL",9508.0
1979,"Milwaukee, WI",3039.0
1979,"Minneapolis, MN",3899.0
1979,"Montgomery County, MD",1241.0
1979,"Nashville, TN",3251.0
1979,"Nassau County, NY",1257.0
1979,"New Orleans, LA",8894.0
1979,"New York City, NY",132383.0
1979,"Newark, NJ",9647.0
1979,"Oakland, CA",6064.0
1979,"Oklahoma City, OK",3812.0
1979,"Omaha, NE",2017.0
1979,"Orlando, FL",1726.0
1979,"Philadelphia, PA",14537.0
1979,"Phoenix, AZ",5803.0
1979,"Pittsburgh, PA",4649.0
1979,"Portland, OR",4558.0
1979,"Prince George's County, MD",4538.0
1979,"Raleigh, NC",804.0
1979,"Sacramento, CA",3212.0
1979,"Salt Lake City, UT",1119.0
1979,"San Antonio, TX",4088.0
1979,"San Diego, CA",5436.0
1979,"San Francisco, CA",11041.0
1979,"San Jose, CA",3236.0
1979,"Seattle, WA",4857.0
1979,"St. Louis, MO",10774.0
1979,"Suffolk County, NY",3023.0
1979,"Tampa, FL",4206.0
1979,"Tucson, AZ",2029.0
1979,"Tulsa, OK",2326.0
1979,"Virginia Beach, VA",530.0
1979,"Washington, DC",10553.0
1979,"Wichita, KS",1456.0
1980,"Albuquerque, NM",2810.0
1980,"Arlington, TX",806.0
1980,"Atlanta, GA",11075.0
1980,"Aurora, CO",1278.0
1980,"Austin, TX",1723.0
1980,"Baltimore County, MD",5774.0
1980,"Baltimore, MD",16571.0
1980,"Boston, MA",12478.0
1980,"Buffalo, NY",3833.0
1980,"Charlotte, NC",2759.0
1980,"Chicago, IL",28658.0
1980,"Cincinnati, OH",3930.0
1980,"Cleveland, OH",11466.0
1980,"Columbus, OH",5130.0
1980,"Dallas, TX",12681.0
1980,"Denver, CO",5520.0
1980,"Detroit, MI",23288.0
1980,"El Paso, TX",2811.0
1980,"Fairfax County, VA",995.0
1980,"Fort Worth, TX",4693.0
1980,"Fresno, CA",2369.0
1980,"Honolulu, HI",2456.0
1980,"Houston, TX",13499.0
1980,"Indianapolis, IN",4453.0
1980,"Jacksonville, FL",4848.0
1980,"Kansas City, MO",7013.0
1980,"Las Vegas, NV",4421.0
1980,"Long Beach, CA",4634.0
1980,"Los Angeles County, CA",12593.0
1980,"Los Angeles, CA",51447.0
1980,"Louisville, KY",0.0
1980,"Memphis, TN",6898.0
1980,"Mesa, AZ",812.0
1980,"Miami, FL",11474.0
1980,"Miami-Dade County, FL",12429.0
1980,"Milwaukee, WI",3310.0
1980,"Minneapolis, MN",3917.0
1980,"Montgomery County, MD",1433.0
1980,"Nashville, TN",3634.0
1980,"Nassau County, NY",1462.0
1980,"New Orleans, LA",8172.0
1980,"New York City, NY",149549.0
1980,"Newark, NJ",11270.0
1980,"Oakland, CA",7536.0
1980,"Oklahoma City, OK",3734.0
1980,"Omaha, NE",1983.0
1980,"Orlando, FL",2350.0
1980,"Philadelphia, PA",17299.0
1980,"Phoenix, AZ",7020.0
1980,"Pittsburgh, PA",5120.0
1980,"Portland, OR",4957.0
1980,"Prince George's County, MD",5194.0
1980,"Raleigh, NC",784.0
1980,"Sacramento, CA",3221.0
1980,"Salt Lake City, UT",1132.0
1980,"San Antonio, TX",4265.0
1980,"San Diego, CA",6189.0
1980,"San Francisco, CA",12710.0
1980,"San Jose, CA",3788.0
1980,"Seattle, WA",5201.0
1980,"St. Louis, MO",10983.0
1980,"Suffolk County, NY",2967.0
1980,"Tampa, FL",5089.0
1980,"Tucson, AZ",2584.0
1980,"Tulsa, OK",2715.0
1980,"Virginia Beach, VA",530.0
1980,"Washington, DC",12772.0
1980,"Wichita, KS",1823.0
1981,"Albuquerque, NM",2985.0
1981,"Arlington, TX",699.0
1981,"Atlanta, GA",10608.0
1981,"Aurora, CO",1437.0
1981,"Austin, TX",1545.0
1981,"Baltimore County, MD",6127.0
1981,"Baltimore, MD",17737.0
1981,"Boston, MA",14071.0
1981,"Buffalo, NY",3341.0
1981,"Charlotte, NC",3166.0
1981,"Chicago, IL",25609.0
1981,"Cincinnati, OH",3892.0
1981,"Cleveland, OH",12429.0
1981,"Columbus, OH",5263.0
1981,"Dallas, TX",12749.0
1981,"Denver, CO",5085.0
1981,"Detroit, MI",23176.0
1981,"El Paso, TX",3510.0
1981,"Fairfax County, VA",934.0
1981,"Fort Worth, TX",4946.0
1981,"Fresno, CA",2158.0
1981,"Honolulu, HI",1965.0
1981,"Houston, TX",10274.0
1981,"Indianapolis, IN",4539.0
1981,"Jacksonville, FL",5634.0
1981,"Kansas City, MO",7714.0
1981,"Las Vegas, NV",4648.0
1981,"Long Beach, CA",4579.0
1981,"Los Angeles County, CA",12059.0
1981,"Los Angeles, CA",52818.0
1981,"Louisville, KY",0.0
1981,"Memphis, TN",7056.0
1981,"Mesa, AZ",741.0
1981,"Miami, FL",11211.0
1981,"Miami-Dade County, FL",12755.0
1981,"Milwaukee, WI",3424.0
1981,"Minneapolis, MN",3883.0
1981,"Montgomery County, MD",1716.0
1981,"Nashville, TN",3087.0
1981,"Nassau County, NY",1708.0
1981,"New Orleans, LA",8121.0
1981,"New York City, NY",156946.0
1981,"Newark, NJ",12320.0
1981,"Oakland, CA",7036.0
1981,"Oklahoma City, OK",4128.0
1981,"Omaha, NE",1583.0
1981,"Orlando, FL",2373.0
1981,"Philadelphia, PA",17616.0
1981,"Phoenix, AZ",6319.0
1981,"Pittsburgh, PA",5983.0
1981,"Portland, OR",6452.0
1981,"Prince George's County, MD",5571.0
1981,"Raleigh, NC",719.0
1981,"Sacramento, CA",3535.0
1981,"Salt Lake City, UT",1268.0
1981,"San Antonio, TX",4651.0
1981,"San Diego, CA",6594.0
1981,"San Francisco, CA",12011.0
1981,"San Jose, CA",4122.0
1981,"Seattle, WA",5414.0
1981,"St. Louis, MO",10364.0
1981,"Suffolk County, NY",1663.0
1981,"Tampa, FL",5674.0
1981,"Tucson, AZ",2810.0
1981,"Tulsa, OK",2678.0
1981,"Virginia Beach, VA",606.0
1981,"Washington, DC",14468.0
1981,"Wichita, KS",1729.0
1982,"Albuquerque, NM",2659.0
1982,"Arlington, TX",607.0
1982,"Atlanta, GA",10486.0
1982,"Aurora, CO",1406.0
1982,"Austin, TX",1532.0
1982,"Baltimore County, MD",6539.0
1982,"Baltimore, MD",16683.0
1982,"Boston, MA",10970.0
1982,"Buffalo, NY",3557.0
1982,"Charlotte, NC",4100.0
1982,"Chicago, IL",26404.0
1982,"Cincinnati, OH",3757.0
1982,"Cleveland, OH",9386.0
1982,"Columbus, OH",4590.0
1982,"Dallas, TX",13053.0
1982,"Denver, CO",4935.0
1982,"Detroit, MI",23746.0
1982,"El Paso, TX",3922.0
1982,"Fairfax County, VA",966.0
1982,"Fort Worth, TX",4901.0
1982,"Fresno, CA",2182.0
1982,"Honolulu, HI",2151.0
1982,"Houston, TX",17801.0
1982,"Indianapolis, IN",4341.0
1982,"Jacksonville, FL",5643.0
1982,"Kansas City, MO",6729.0
1982,"Las Vegas, NV",4470.0
1982,"Long Beach, CA",4498.0
1982,"Los Angeles County, CA",11870.0
1982,"Los Angeles, CA",53957.0
1982,"Louisville, KY",0.0
1982,"Memphis, TN",7609.0
1982,"Mesa, AZ",705.0
1982,"Miami, FL",9963.0
1982,"Miami-Dade County, FL",12088.0
1982,"Milwaukee, WI",3593.0
1982,"Minneapolis, MN",4247.0
1982,"Montgomery County, MD",1719.0
1982,"Nashville, TN",3248.0
1982,"Nassau County, NY",1685.0
1982,"New Orleans, LA",8604.0
1982,"New York City, NY",143943.0
1982,"Newark, NJ",10704.0
1982,"Oakland, CA",6609.0
1982,"Oklahoma City, OK",4286.0
1982,"Omaha, NE",2450.0
1982,"Orlando, FL",2662.0
1982,"Philadelphia, PA",17511.0
1982,"Phoenix, AZ",5431.0
1982,"Pittsburgh, PA",5391.0
1982,"Portland, OR",6484.0
1982,"Prince George's County, MD",5053.0
1982,"Raleigh, NC",886.0
1982,"Sacramento, CA",2988.0
1982,"Salt Lake City, UT",1279.0
1982,"San Antonio, TX",5905.0
1982,"San Diego, CA",5835.0
1982,"San Francisco, CA",11615.0
1982,"San Jose, CA",3616.0
1982,"Seattle, WA",5120.0
1982,"St. Louis, MO",10069.0
1982,"Suffolk County, NY",2081.0
1982,"Tampa, FL",5736.0
1982,"Tucson, AZ",2925.0
1982,"Tulsa, OK",2704.0
1982,"Virginia Beach, VA",646.0
1982,"Washington, DC",13397.0
1982,"Wichita, KS",1695.0
1983,"Albuquerque, NM",2954.0
1983,"Arlington, TX",585.0
1983,"Atlanta, GA",9326.0
1983,"Aurora, CO",1706.0
1983,"Austin, TX",1534.0
1983,"Baltimore County, MD",6012.0
1983,"Baltimore, MD",16132.0
1983,"Boston, MA",11365.0
1983,"Buffalo, NY",3297.0
1983,"Charlotte, NC",4267.0
1983,"Chicago, IL",39776.0
1983,"Cincinnati, OH",3339.0
1983,"Cleveland, OH",7798.0
1983,"Columbus, OH",4197.0
1983,"Dallas, TX",11478.0
1983,"Denver, CO",4379.0
1983,"Detroit, MI",25527.0
1983,"El Paso, TX",4275.0
1983,"Fairfax County, VA",794.0
1983,"Fort Worth, TX",5104.0
1983,"Fresno, CA",1913.0
1983,"Honolulu, HI",2136.0
1983,"Houston, TX",15919.0
1983,"Indianapolis, IN",4139.0
1983,"Jacksonville, FL",5670.0
1983,"Kansas City, MO",7452.0
1983,"Las Vegas, NV",3564.0
1983,"Long Beach, CA",4679.0
1983,"Los Angeles County, CA",11493.0
1983,"Los Angeles, CA",53435.0
1983,"Louisville, KY",0.0
1983,"Memphis, TN",7564.0
1983,"Mesa, AZ",798.0
1983,"Miami, FL",9784.0
1983,"Miami-Dade County, FL",11795.0
1983,"Milwaukee, WI",3720.0
1983,"Minneapolis, MN",3487.0
1983,"Montgomery County, MD",1449.0
1983,"Nashville, TN",3289.0
1983,"Nassau County, NY",1493.0
1983,"New Orleans, LA",8048.0
1983,"New York City, NY",132653.0
1983,"Newark, NJ",9327.0
1983,"Oakland, CA",6777.0
1983,"Oklahoma City, OK",4685.0
1983,"Omaha, NE",2390.0
1983,"Orlando, FL",2215.0
1983,"Philadelphia, PA",16973.0
1983,"Phoenix, AZ",5270.0
1983,"Pittsburgh, PA",5605.0
1983,"Portland, OR",6879.0
1983,"Prince George's County, MD",4817.0
1983,"Raleigh, NC",879.0
1983,"Sacramento, CA",3080.0
1983,"Salt Lake City, UT",1163.0
1983,"San Antonio, TX",5327.0
1983,"San Diego, CA",5451.0
1983,"San Francisco, CA",10117.0
1983,"San Jose, CA",3460.0
1983,"Seattle, WA",4818.0
1983,"St. Louis, MO",8461.0
1983,"Suffolk County, NY",2259.0
1983,"Tampa, FL",5053.0
1983,"Tucson, AZ",2776.0
1983,"Tulsa, OK",2404.0
1983,"Virginia Beach, VA",587.0
1983,"Washington, DC",11933.0
1983,"Wichita, KS",1385.0
1984,"Albuquerque, NM",3615.0
1984,"Arlington, TX",765.0
1984,"Atlanta, GA",10525.0
1984,"Aurora, CO",1822.0
1984,"Austin, TX",1648.0
1984,"Baltimore County, MD",6111.0
1984,"Baltimore, MD",15581.0
1984,"Boston, MA",10557.0
1984,"Buffalo, NY",3316.0
1984,"Charlotte, NC",4431.0
1984,"Chicago, IL",60579.0
1984,"Cincinnati, OH",3447.0
1984,"Cleveland, OH",7332.0
1984,"Columbus, OH",4352.0
1984,"Dallas, TX",12110.0
1984,"Denver, CO",4100.0
1984,"Detroit, MI",26567.0
1984,"El Paso, TX",3730.0
1984,"Fairfax County, VA",868.0
1984,"Fort Worth, TX",5452.0
1984,"Fresno, CA",1994.0
1984,"Honolulu, HI",1950.0
1984,"Houston, TX",15155.0
1984,"Indianapolis, IN",4366.0
1984,"Jacksonville, FL",6228.0
1984,"Kansas City, MO",7167.0
1984,"Las Vegas, NV",3309.0
1984,"Long Beach, CA",4243.0
1984,"Los Angeles County, CA",10898.0
1984,"Los Angeles, CA",51442.0
1984,"Louisville, KY",0.0
1984,"Memphis, TN",9158.0
1984,"Mesa, AZ",871.0
1984,"Miami, FL",10928.0
1984,"Miami-Dade County, FL",13052.0
1984,"Milwaukee, WI",3456.0
1984,"Minneapolis, MN",3883.0
1984,"Montgomery County, MD",1540.0
1984,"Nashville, TN",3104.0
1984,"Nassau County, NY",1923.0
1984,"New Orleans, LA",8687.0
1984,"New York City, NY",132292.0
1984,"Newark, NJ",8580.0
1984,"Oakland, CA",6388.0
1984,"Oklahoma City, OK",4259.0
1984,"Omaha, NE",2410.0
1984,"Orlando, FL",2387.0
1984,"Philadelphia, PA",15599.0
1984,"Phoenix, AZ",6372.0
1984,"Pittsburgh, PA",4564.0
1984,"Portland, OR",7408.0
1984,"Prince George's County, MD",4700.0
1984,"Raleigh, NC",947.0
1984,"Sacramento, CA",3252.0
1984,"Salt Lake City, UT",1088.0
1984,"San Antonio, TX",5388.0
1984,"San Diego, CA",5931.0
1984,"San Francisco, CA",9372.0
1984,"San Jose, CA",3295.0
1984,"Seattle, WA",5553.0
1984,"St. Louis, MO",7729.0
1984,"Suffolk County, NY",1650.0
1984,"Tampa, FL",5852.0
1984,"Tucson, AZ",2959.0
1984,"Tulsa, OK",2619.0
1984,"Virginia Beach, VA",618.0
1984,"Washington, DC",10725.0
1984,"Wichita, KS",1328.0
1985,"Albuquerque, NM",4105.0
1985,"Arlington, TX",1110.0
1985,"Atlanta, GA",11610.0
1985,"Aurora, CO",2250.0
1985,"Austin, TX",2363.0
1985,"Baltimore County, MD",6775.0
1985,"Baltimore, MD",15498.0
1985,"Boston, MA",11887.0
1985,"Buffalo, NY",3411.0
1985,"Charlotte, NC",4575.0
1985,"Chicago, IL",60011.0
1985,"Cincinnati, OH",3275.0
1985,"Cleveland, OH",6580.0
1985,"Columbus, OH",4392.0
1985,"Dallas, TX",14364.0
1985,"Denver, CO",4252.0
1985,"Detroit, MI",25904.0
